RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
Northeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1,229000,224900,233500,230000,235000,235000,235000,229000,229000,228500,225000,215000,205000,210000,223000,224000,225000,225000,219000,219000,214000,219000,215000,215000,209900,218500,221500,219900,229950,231500,229000,219700,215000,219450,215000,209000,210000,224900,236250,244900,246500,249250,245000,249900,239900,239500,244000,250000,250000,253900,269000,275000,285750,279000,275000,279950,275000,283450,274950,269900,299000,3.00E+05,325000,325000,334000,335000,325000,319000,330000,339900,349000,339900,339900,349250,350000,371000,375000,375000,379250,375000,375000,375000,374990,365000,380000,399000,399000,402250,399000,398000,390000,385000,379000,377250,375000,375000,375000,397500,399000,399900,399000,399000,399000,389000,390000,398500,399000,390000,387500,399000,399000,399000,399250
Maryvale,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98250,99000,99500,101000,105000,109000,110000,111625,114900,118000,119000,115000,115000,115000,115000,115000,115000,116900,118000,122900,124250,127000,126000,130000,129994.5,130000,132000,135000,137800,139900,139999.5,139900,143000,144945,148900,149900,150608,152400,150000,151616.5,150000,154043.5,156750,159250,159900,163999,165000,165250,168900,167900,167250,167000,168500,170000,174500,175000,179000,180000,179900,184800,184950,185000,185000,185000,185000,186719,190000,192950,194500
Paradise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,3,145900,149000,144900,138900,135000,130000,129000,128150,124900,124900,124000,119000,119000,119900,118000,115000,115000,110000,110000,114900,114900,115000,114000,110000,110000,109900,110000,111200,119900,125000,120000,117000,119900,121700,120000,125000,129999.5,129990,134900,135000,137500,139900,130000,147000,150000,152750,155000,154900,155000,159000,159925,160000,162000,165000,165000,169985,173000,175000,175000,175000,179000,179999,185000,185000,187000,189900,190000,190000,189998,195000,198000,198000,198000,198000,195000,199900,199999,209900,210000,217450,219900,219900,210000,215000,219500,220000,224900,229000,230000,235000,244450,248000,248900,248900,247250,249900,249750,245888,250000,253894,259900,263000,271000,275000,272272,270000,274000,273499.5,275000,272000,269893.5,270000,275000
Upper West Side,New York,NY,New York-Newark-Jersey City,New York County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099500,1900000,1999000,1895000,1883000,1895000,1900000,1877500,1880000,1900000,1880500,1835000,1895000,1933500,1995000,1950000,1950000,1950000,1950000,1950000,1950000,1950000,1950000,1900000,1750000,1699500,1764112.5,1795000,1795000,1797000,1795000,1750000,1795000,1797000,1875000,1900000,1858500,1800000,1800000,1795000
South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5,2.00E+05,205000,205000,210000,210450,212950,209000,202550,211000,210000,214900,214999.5,215000,214482,210000,205000,205000,210000,209250,209900,207000,205059,208445,205000,209000,209400,210000,215000,209900,210000,215900,219000,219850,224450,229900,233775,238500,245000,249900,249900,260000,269900,284900,279450,280000,280000,279950,289575,277450,289662,295000,299999,305000,306000,315700,315000,309000,307900,310000,309947.5,315000,319000,316000,329900,329950,325000,329900,329900,335000,335000,339000,342500,349000,349500,350000,350000,359000,365000,375000,375000,379950,380000,384184,385000,390000,390000,399900,407449.5,419800,425000,429450,429999.5,439000,440000,445000,450000,459900,459900,459900,469900,480000,490000,485000,485000,490000,490000,480000,489900,479999,475000,490000,499000,499000
Upper East Side,New York,NY,New York-Newark-Jersey City,New York County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000,1150000,1125000,1150000,1100000,1050000,1100000,1150000,1199000,1250000,1200000,1195000,1197500,1225000,1195000,1200000,1200000,1250000,1250000,1300000,1399000,1395000,1475000,1400000,1450000,1395000,1395000,1395000,1495000,1350000,1492500,1592500,1650000,1685000,1695000,1695000,1700000,1750000,1750000,1690000,1692500,1695000,1775000,1850000,1800000,1850000,1999000,1999747.5,1849000,1929000,1850000,1795000,1775000,1774500,1775000,1750000,1795000,1795000,1775000,1800000,1795000,1800000,1795000,1825000,1799000,1795000,1799000,1800000,1890000,1900000,1850000,1650000,1600000,1650000,1649500,1595000,1549000,1500000,1547000,1500000,1495000,1525000,1525000,1575000,1595000,1580000,1595000
Sunrise Manor,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,7,91450,90920,90000,90000,89900,84900,85000,84900,82000,80900,79900,78000,77500,75920,75000,74900,72500,72000,71000,72000,70000,69900,69900,69000,69900,69900,70200,70900,75000,79000,76000,77900,79250,79900,77900,82050,84900,85000,88000,89900,95000,98900,95310,105000,105900,107000,109900,110000,109900,110000,115000,115500,116000,119600,119900,125000,127000,129900,124000.5,124400,125000,128000,128900,129000,135000,135000,135000,139600,139990,139888,139250,139990,138894,142000,143000,145000,147750,149998.5,154375,155000,155000,159000,159900,159900,163000,165000,169999,171800,173000,175000,180000,179994.5,180000,185000,185000,185000,185000,189950,199000,199900,199990,210000,215000,224900,224900,219900,217500,219000,223000,225000,224900,225000,226000
Spring Valley,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,155000,155000,155000,152900,150000,149250,145000,140000,139000,135000,135000,128900,127350,125000,128000,127900,125000,129000,129900,129900,129900,129000,126900,126500,129900,129900,132500,136500,142000,145000,139900,138000,139945,139900,139900,145000,149000,149900,149900,154900,159000,160000,149900,174900,179900,184300,184900,184900,175000,175000,184900,185000,180000,189900,185000,202450,205855.5,206995,209250,210000,215000,224000,221960,231200,238900,232990,239500,235000,237000,240000,240000,245000,244990,240000,249000,245000,249990,255000,259000,259900,265000,263500,265000,264999.5,265000,270000,274900,275000,278944,287880,292490,294950,299900,298950,297240,294999,294999,299900,294900,295000,299694,299999.5,304900,317745,318645,318000,315000,315000,309900,310000,3.00E+05,3.00E+05,309500
Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,9,164950,164900,160000,154900,160000,169450,174900,175000,169950,169000,169900,170000,175000,180000,179000,174900,169000,170000,170000,171000,171000,172500,170000,170000,174949.5,171005,176400,180000,185000,184250,181250,189000,189900,199000,205000,209900,210000,210000,210000,219000,229900,234500,239777,238800,239838.5,239950,239900,245000,249450,249450,248000,250000,250000,250000,261250,260000,259900,256450,265000,274990,270000,275000,279000,270000,272450,275000,279000,289000,289900,295000,295725,299900,3.00E+05,305500,309000,3.00E+05,314900,302900,319000,324950,329000,327000,325000,327500,329900,335000,339000,339999,339999.5,340000,349000,349000,349000,350000,351995,350000,365000,370000,370000,375000,375000,375000,389000,395000,394950,398000,396500,399000,399900,399900,415000,409999,415000
East New York,New York,NY,New York-Newark-Jersey City,Kings County,10,375500,360000,375000,360000,352500,349000,349000,349000,342499.5,347700,349000,339999.5,331850,335474,330000,330000,329000,325000,319000,319500,319000,315000,319000,324999,329000,337248,337248,330000,349000,349000,355000,359000,350000,349000,349000,349000,349000,349000,350000,349000,349000,337248,339000,349000,349000,349999,369000,399000,429000,439000,450000,449499.5,385000,319000,350000,360000,399000,360000,369994.5,357500,329000,354500,360000,359000,350000,387000,395000,395000,399500,423969,399000,426600.5,387000,4.00E+05,425000,424500,425000,449000,439000,439000,439000,439000,440000,449000,482500,479500,489000,484500,450000,449000,469000,475000,492499.5,475000,449500,449000,450000,439000,439000,449500,439000,479999,505000,487000,489000,499000,499000,499000,499900,499995,525000,525000,525000
