RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
12447,Los Angeles,California,1,501800,486800,4.64E+05,454700,435700,421700,406300,397100,385700,371700,356700,3.44E+05,338200,328500,324600,327500,331800,337200,340100,345400,346600,351400,358600,362800,360400,353300,353600,351500,353200,348900,353600,351800,358300,358300,356300,353800,346200,348300,347600,347200,344100,339700,339300,3.33E+05,331400,329700,3.32E+05,331500,332300,337500,340300,345900,352700,361500,373300,374900,383300,396800,406200,414200,413700,4.31E+05,445300,459600,4.67E+05,4.69E+05,473100,474200,469700,460200,448500,449300,449800,458100,462800,463800,464600,464200,466500,470500,470700,475300,476400,4.84E+05,489500,495100,4.94E+05,495200,496100,503500,502800,501800,501900,513700,522300,5.26E+05,522900,527200,531800,534800,532400,533800,538800,538300,543200,540800,5.54E+05,550500,557500,552600,560200,563900,568700,569600,574600,584700,602100,611600,6.15E+05,622200,626700,6.35E+05,635500,645800,640500,645600,649500,669700,679900,682300,6.90E+05,685400,696400,698600,705200
17426,Chicago,Illinois,2,324900,3.16E+05,2.94E+05,2.78E+05,2.74E+05,270600,271400,2.69E+05,261700,258300,249900,249100,249500,246900,239800,227800,226300,228900,230200,229800,235100,234600,238700,227800,225700,222200,227300,228100,219800,2.11E+05,198700,199900,202200,204500,2.03E+05,200300,197200,1.89E+05,183600,188700,199300,206100,2.05E+05,201900,192300,192100,1.86E+05,184700,180500,183200,187900,194600,201100,208300,214100,208400,207900,199600,205600,199700,202900,204700,218600,231400,242100,247800,249900,253500,251700,248400,245600,255500,259200,258400,254600,257100,257300,259100,262700,265400,266600,263800,267300,266100,268600,268600,267400,262200,2.55E+05,2.44E+05,237900,230200,222300,219600,219200,220800,217600,218200,221300,222900,226400,229600,230700,231600,2.38E+05,249700,261100,2.57E+05,252300,239200,233700,225200,222300,225500,225700,228800,229700,235600,241800,244900,259300,2.59E+05,259300,249700,257600,263600,266200,262300,267200,250900,260700,269200,3.00E+05,299400,289800
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164300,163900,165900,166100,167100,166900,169900,172100,173400,171900,171500,172400,173700,1.75E+05,174700,178400,176900,178300,175700,176600,178100,178700,179500,177600,178300,178700,179900,180100,180800,180800,180100,181200,180200,179600,1.79E+05,181500,182400,182900,182500,185800,187100,188900,188200,188600,189200,190500,191900,192300,192200,192300,194200,199300,201500,2.01E+05,196700,195300,196300,197100,199300
13271,Philadelphia,Pennsylvania,4,111300,111500,112600,110200,108400,111100,113600,115900,114400,111500,107400,102300,1.03E+05,111200,113400,114100,109100,115700,121100,124400,129200,127500,124100,114500,116200,119100,122100,119700,115300,106300,104600,100800,1.11E+05,106300,108900,104500,108500,112200,112100,111700,105400,106400,105400,106800,103300,104600,103900,101300,100100,103900,109500,107500,106700,108900,109200,106500,106700,112100,115100,112600,108300,108700,110100,112700,114900,115200,115300,115400,116200,118600,1.19E+05,120300,125700,124700,1.24E+05,118500,117900,119700,118300,120200,117700,1.19E+05,117700,112900,115500,116900,120900,121200,121400,121600,122400,126100,126900,123400,1.27E+05,128300,129600,122400,123200,122600,125300,125500,129300,127100,129900,130400,133100,134700,137600,1.42E+05,143700,1.45E+05,144500,145900,144800,144400,147100,147300,150800,143300,142600,139500,145800,144500,143700,1.42E+05,144900,147700,152600,157700,159800,161300,159600,160900,162800
40326,Phoenix,Arizona,5,2.22E+05,212700,203900,194800,185600,175900,167200,154400,1.40E+05,122800,108100,9.30E+04,81900,74500,73400,8.10E+04,87800,94900,95600,97300,104300,105300,105700,102600,102900,102800,101700,102900,101600,97700,95300,93900,90500,85100,84600,8.40E+04,8.40E+04,80600,79600,81300,83400,86200,88600,90800,94600,9.70E+04,9.20E+04,86100,81400,84700,92900,96700,101300,104100,106500,111600,116100,120300,123200,121600,123600,124100,1.29E+05,133100,136800,137400,137700,137900,136500,137300,137100,138800,138500,139800,138600,138700,139200,140600,142900,1.43E+05,142800,144500,143800,147200,150100,155100,158800,160700,161800,161500,161600,163600,166200,168600,169500,170400,172100,173500,174700,174900,175600,178500,181800,184400,187200,187400,189200,189300,191200,190300,190400,190300,192500,194300,195500,197800,201100,203600,207900,211400,214300,216900,215400,215200,216900,218300,219900,219200,223400,224100,227600,228700,231700,230300,229200
18959,Las Vegas,Nevada,6,244700,239400,2.35E+05,229400,219900,208200,193800,183800,174200,166800,158900,150800,142500,131700,1.24E+05,120500,119900,1.18E+05,1.16E+05,116900,118800,121300,122800,123200,1.23E+05,124200,1.26E+05,128400,125300,124100,119600,118200,116200,115200,1.15E+05,113800,110900,109100,1.08E+05,108800,106700,103500,101600,102500,104300,105600,106300,106300,107600,109800,112900,116900,118800,121500,1.23E+05,126100,130300,132900,136700,139200,1.43E+05,1.45E+05,147800,154700,158900,162300,160500,162500,163300,165100,165800,167600,169200,171100,171100,163900,163100,166800,175500,177900,177100,178500,1.78E+05,1.80E+05,180500,183900,184700,184900,187700,187600,190200,187800,190600,1.91E+05,195900,199600,1.99E+05,196600,194500,197600,197500,197400,196400,199700,202300,203600,206300,207600,213300,214700,217600,222900,225900,227900,227100,229200,232400,235500,240200,244200,246600,2.48E+05,252100,259700,261500,260700,258900,261600,263900,263100,2.66E+05,267200,269700,265100,265200
54296,San Diego,California,7,4.21E+05,4.08E+05,398200,379600,370400,355200,348700,334800,321900,308100,295100,299600,293700,292100,289500,3.07E+05,322600,331200,340200,347600,347200,349100,340100,344900,344800,350700,348400,3.44E+05,347800,347900,3.54E+05,354900,360800,358600,347500,340400,336700,342900,343100,337100,332900,327400,325800,324800,325400,329800,328800,330100,334200,3.42E+05,351300,3.55E+05,364400,366600,371200,373200,382700,390700,397400,401600,406800,414700,425900,430400,432400,428900,435500,4.34E+05,435800,433800,437600,438900,439800,440400,4.44E+05,444900,448500,453200,460300,466800,465600,463100,462900,472300,480600,480400,475800,4.75E+05,4.78E+05,479200,473300,469700,472100,486200,499200,501900,492400,494300,496300,501600,499300,502100,507300,516500,520200,520200,525800,537400,543500,5.36E+05,529800,534900,540100,544300,5.45E+05,549600,561100,569700,573800,572700,576600,582600,589800,592200,590500,590100,594500,591500,585600,5.80E+05,589300,597300,597800,5.98E+05,
33839,San Jose,California,8,616500,582500,564900,544800,533900,522200,501300,476700,445600,427600,422500,416600,3.97E+05,370800,359800,367400,394400,403400,4.19E+05,421400,438600,449400,458900,465400,466500,453400,453800,448400,458600,456600,460700,457500,453600,450100,4.49E+05,438700,429500,417300,414100,423400,426100,432600,431700,426100,425900,420900,432400,431100,432800,436800,4.40E+05,451500,466800,494500,510100,515800,519700,524400,541300,547800,556700,563200,578500,592300,599200,601200,604800,608100,611800,615300,620500,6.25E+05,624400,629500,633400,641200,637900,647400,653100,661100,665300,668200,676600,666300,676800,680400,699100,703800,713700,721500,730400,732900,733700,737800,736300,744300,749300,758400,763800,761700,767600,764100,764800,768600,777100,782300,790700,800300,809400,809100,808100,813700,827500,837700,854900,876600,908700,952300,9.74E+05,1017100,1037600,1061200,1.06E+06,1040500,1018800,1004600,999400,1012500,993600,987600,979400,979200,973300,958200,949600
25290,Jacksonville,Florida,9,173200,166600,151400,146500,1.43E+05,141800,1.36E+05,130600,130300,128700,129400,131500,131100,1.26E+05,112500,1.09E+05,108900,112200,110600,106700,109100,109900,110900,110400,110200,1.09E+05,101700,99100,98300,94200,87300,82200,88600,93300,95400,92900,90100,88900,83600,84900,84500,87300,83300,83200,83500,8.90E+04,84700,83600,78300,81100,78300,77300,75500,76300,77800,75700,77500,8.00E+04,86600,85100,82300,79600,8.00E+04,77100,74500,78900,82800,86900,85600,86500,84900,81100,79200,78600,76100,75400,78400,8.00E+04,81400,82900,85400,86600,81400,78100,74400,76600,83600,90900,96300,9.60E+04,99100,97700,94400,92500,9.40E+04,105300,1.04E+05,109400,107600,114300,112900,112300,110200,1.12E+05,113200,114700,118200,132100,138500,139100,128700,125500,122800,124600,121600,120200,1.21E+05,125600,132900,138500,147200,147700,143500,139600,141200,142600,144900,141400,1.42E+05,139800,1.43E+05,152600,154900,159900,157700
24043,Charlotte,North Carolina,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181300,185500,185200,186800,187300,1.88E+05,187800,186900,189500,194100,196700,202900,2.10E+05,219100,220800,2.23E+05,224200,220600,219100,215400,219800,219200,221200,225300,227500,229800,228100,230800
